hook | ①作死实验 / 一个人类 · 61 分钟 · 三家公司 | 系统日志：检测到一场作死实验——一个人类，61 分钟，开了三家公司。
body | ④第一件 / 10 分钟循环 · 14:33 点火 | 第一件，10 分钟循环。14 点 33 分点火：到点自动醒，扫任务板，认领，执行，写账。
beat | ④循环实录 / 凌晨三点 · 任务板还在进账 | 这条循环没有下班时间——凌晨三点，任务板还在进新账。
body | ④第二件 / 两台机器 · 同事制交账 | 第二件，两台机器像同事：一台派活，一台接活，干完互相交账。
turn | ④甩锅修正 / 甩锅甩得准 | 出错先甩锅——日志甩得很准。甩完，修正。
body | ④第三件 / 吹牛检测 · 当场对账 | 第三件，吹牛检测。谁说大话，另一台翻台账，当场对账。
punch | ④老板不除外 / 每个承诺 · 有时间戳 | 老板也不除外。他的每个承诺，后面都跟着时间戳。
body | ④第四件 / 三级记忆 · 醒来先读 | 第四件，三级记忆。每次醒来先读记忆再干活——不靠人交接，断电不失忆。
beat | ④第五件 / 进化引擎 · 每周日 09:17 | 第五件，进化引擎。每周日 9 点 17 分，集团自动跑一轮：感知、提案、裁决、立法。
proof | ④人类否决权 / 只留一只手 | 全自动立法，人类只留一只手：否决权。
wink | ④梗位 / 你司周会 · 它司立法 | 别人开周会，它改宪法。
beat | ④立法实例 / 旧法 · 找不出违律不给分 | 平时它也自己改法。旧评审规矩：「找不出违律，不给分。」逼得评审每轮硬挑，三稿打回。
proof | ④新法首单 / 基线 10 分 · 一次过门 | 上周改的：基线 10 分，实锤违律才扣分。新法第一单，一次过门。
body | ④屏幕演示 / 画面 = 日志本体 | 画面里滚的，全是真实台账。不是动画，是日志本体。
hook | ⑤最大翻车 / 432 全灭 · 完整版 | 回到最大的那个翻车，完整版。
body | ⑤回测现场 / 引擎跑一整天 · 432 排队受审 | 回测引擎跑了一整天，432 个方案，排队受审。
punch | ⑤判决 / 一个词：全灭 | 判决只有一个词：全灭。
proof | ⑤数据落账 / 0 组过线 · 还在账本里 | 0 组过线。这行字，现在还在账本里。
punch | ⑤审计现场 / 老板首战 17 分钟 | 对账最狠的一行：老板首战决策，合计 17 分钟。
body | ⑤剩余动作 / 几百个 · 全是机队干的 | 剩下几百个动作——建章、登记、接线、生产——全是机队干的，每步留痕。
turn | ⑤开酒 / 不是庆功 | 它开了瓶酒。不是庆功——那天唯一拿得出手的，就这瓶酒。
wink | ⑤弹幕引爆 / 庆功还是浇愁 | 这瓶酒算庆功还是浇愁，弹幕说了算。
close | ⑥金句回环 / 一个人上班 · 三家公司开工 | 收尾，回到开头：一个人上班，三家公司开工。
body | ⑥如实交底 / 账号 0 · 发布 0 · 粉丝 0 | 如实交底：平台矩阵 11 个，账号开了 0 个，发布 0 条，粉丝 0。
proof | ⑥干净起点 / 不发愿景数字 | 我们不发愿景数字。今天能拿出来的，只有这个干净的起点。
cta | ⑥系列钩 / 三家公司的第一周 | 下集预告：《三家公司的第一周》——引擎装上没有，门禁又拦了谁，我下条视频剪什么，下集交代。
cta | ⑥B站位 / 关注 · 三连 · 充电 | 系列位已埋。关注、三连，充电口开着——审计日志，随时公开。
wink | ⑥自指收尾 / 本片 · 三号公司产品 | 最后一行系统日志：本片由三号公司生产、自审、交付。检测通过。
